"year","sex","age","deaths"
2007,"male",70,670.67375377101
2007,"male",75,745.749173969257
2007,"male",80,673.67677057894
2007,"male",85,918.923143226548
2008,"male",0,217.107652238621
2008,"male",1,63.0312538757286
2008,"male",5,35.0173632642937
2008,"male",10,45.022324196949
2008,"male",15,198.098226466576
2008,"male",20,308.152796725784
2008,"male",25,376.186531067841
2008,"male",30,403.19992558601
2008,"male",35,375.186034974575
2008,"male",40,303.150316259457
2008,"male",45,320.158749844971
2008,"male",50,406.201413865807
2008,"male",55,446.221257596428
2008,"male",60,533.26441771053
2008,"male",65,683.33883170036
2008,"male",70,823.408284757534
2008,"male",75,766.380007441399
2008,"male",80,767.380503534665
2008,"male",85,996.494108892472
2009,"male",0,285.24363980594
2009,"male",1,78.6183883564075
2009,"male",5,32.2536977872441
2009,"male",10,60.4756833510827
2009,"male",15,223.760028399006
2009,"male",20,374.949236776713
2009,"male",25,404.179150396403
2009,"male",30,453.56762513312
2009,"male",35,434.416992071944
2009,"male",40,402.1632942847
2009,"male",45,367.893740385753
2009,"male",50,402.1632942847
2009,"male",55,421.313927345876
2009,"male",60,535.209797657082
2009,"male",65,649.105667968288
2009,"male",70,787.191811619927
2009,"male",75,829.524789965685
2009,"male",80,759.977754111939
2009,"male",85,1015.99148029819
2010,"male",0,178.285379042955
2010,"male",1,76.4080195898378
2010,"male",5,43.8072645648403
2010,"male",10,46.8635853484338
2010,"male",15,339.25160697888
2010,"male",20,562.363024181206
2010,"male",25,581.719722477298
2010,"male",30,601.076420773391
2010,"male",35,585.794816855423
2010,"male",40,457.429343944495
2010,"male",45,454.373023160902
2010,"male",50,490.030098969493
2010,"male",55,529.762269156209
2010,"male",60,615.339251096827
2010,"male",65,698.878685848383
2010,"male",70,870.032649729619
2010,"male",75,893.464442403836
2010,"male",80,832.338026731966
2010,"male",85,1127.78236914601
2011,"male",0,253.30128663331
2011,"male",1,69.1746485584942
2011,"male",5,42.7255182273052
2011,"male",10,62.0537288539433
2011,"male",15,304.164998808673
2011,"male",20,499.481653562068
2011,"male",25,484.222539909459
2011,"male",30,498.464379318561
2011,"male",35,535.086252084822
2011,"male",40,405.8924231594
2011,"male",45,396.736954967834
2011,"male",50,446.58339289969
2011,"male",55,521.861686919228
2011,"male",60,608.329997617346
2011,"male",65,744.64474624732
2011,"male",70,849.423993328568
